K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,UpdatesABmin,UpdatesABmax,SyncAESuccess,SampleSize
3.0,4.0,4.0,168.53,90.55,100.0,71.33,35,644,0.01,100
3.0,4.0,6.0,389.29896907216494,207.75257731958763,100.0,71.77319587628865,115,853,0.0,97
3.0,4.0,8.0,787.0631578947368,415.0105263157895,100.0,74.69473684210526,225,1610,0.0,95
3.0,4.0,10.0,1143.0309278350514,604.1649484536083,100.0,72.24742268041237,274,2819,0.0,97
3.0,4.0,12.0,1751.5531914893618,914.0851063829788,100.0,73.45744680851064,419,3346,0.0,94
3.0,16.0,4.0,340.57,175.71,100.0,71.92,133,900,0.0,100
3.0,16.0,6.0,782.71,404.33,100.0,72.44,258,1959,0.0,100
3.0,16.0,8.0,1325.94,688.79,100.0,73.29,593,2634,0.0,100
3.0,16.0,10.0,2274.87,1167.43,100.0,73.41,951,4678,0.0,100
3.0,16.0,12.0,3613.67,1856.4,100.0,74.0,1536,9460,0.0,100
3.0,32.0,4.0,371.81,189.25,100.0,71.6,161,613,0.0,100
3.0,32.0,6.0,948.16,488.5,100.0,72.39,506,2343,0.0,100
3.0,32.0,8.0,1734.07,889.8,100.0,72.46,664,3127,0.0,100
3.0,32.0,10.0,2723.08,1390.71,100.0,73.76,1383,4501,0.0,100
3.0,32.0,12.0,3964.62,2034.86,100.0,73.39,2041,8504,0.0,100
4.0,4.0,4.0,195.9090909090909,100.0909090909091,100.0,70.52525252525253,55,581,0.0,99
4.0,4.0,6.0,480.010101010101,243.07070707070707,100.0,70.88888888888889,124,958,0.0,99
4.0,4.0,8.0,871.87,443.56,100.0,71.89,343,2192,0.0,100
4.0,4.0,10.0,1473.4166666666667,748.1041666666666,100.0,71.82291666666667,538,3269,0.0,96
4.0,4.0,12.0,2142.1041666666665,1088.25,100.0,73.25,679,4808,0.0,96
4.0,16.0,4.0,490.37,246.26,100.0,71.16,215,1291,0.0,100
4.0,16.0,6.0,1289.32,649.22,100.0,71.65,483,3395,0.0,100
4.0,16.0,8.0,2601.14,1307.04,100.0,71.5,698,6039,0.0,100
4.0,16.0,10.0,4414.55,2224.45,100.0,72.58,1400,13339,0.0,100
4.0,16.0,12.0,6953.37,3505.97,100.0,72.75,2449,18431,0.0,100
4.0,32.0,4.0,698.96,353.44,100.0,70.61,284,2079,0.0,100
4.0,32.0,6.0,2319.85,1168.68,100.0,72.03,709,11341,0.0,100
4.0,32.0,8.0,4723.275510204082,2379.1938775510203,100.0,71.92857142857143,1362,10523,0.0,98
4.0,32.0,10.0,6519.269841269841,3273.6825396825398,100.0,72.38095238095238,2272,11331,0.0,63
4.0,32.0,12.0,7725.25641025641,3875.923076923077,100.0,72.28205128205128,4255,11775,0.0,39
